colorspace,quantize_method,total_bits,channel_bits,q1,q2,q3,error_value,filename,folder,config,bit_efficiency,channel_sum
RGB,nonuniform,8,332,3,3,2,223,out_RGB_nonuniform_N8_332_error_223.png,C1M2,C1M2,0.03587443946188341,8
RGB,nonuniform,8,341,3,4,1,538,out_RGB_nonuniform_N8_341_error_538.png,C1M2,C1M2,0.01486988847583643,8
RGB,nonuniform,8,413,4,1,3,719,out_RGB_nonuniform_N8_413_error_719.png,C1M2,C1M2,0.011126564673157162,8
RGB,nonuniform,8,422,4,2,2,331,out_RGB_nonuniform_N8_422_error_331.png,C1M2,C1M2,0.02416918429003021,8
RGB,nonuniform,8,431,4,3,1,539,out_RGB_nonuniform_N8_431_error_539.png,C1M2,C1M2,0.014842300556586271,8
RGB,nonuniform,8,512,5,1,2,787,out_RGB_nonuniform_N8_512_error_787.png,C1M2,C1M2,0.010165184243964422,8
RGB,nonuniform,8,521,5,2,1,671,out_RGB_nonuniform_N8_521_error_671.png,C1M2,C1M2,0.011922503725782414,8
RGB,nonuniform,8,611,6,1,1,1135,out_RGB_nonuniform_N8_611_error_1135.png,C1M2,C1M2,0.007048458149779736,8
YUV,equal,4,112,1,1,2,3912,out_YUV_equal_N4_112_error_3912.png,C2M1,C2M1,0.0010224948875255625,4
YUV,equal,4,121,1,2,1,2717,out_YUV_equal_N4_121_error_2717.png,C2M1,C2M1,0.001472211998527788,4
YUV,equal,4,211,2,1,1,3248,out_YUV_equal_N4_211_error_3248.png,C2M1,C2M1,0.0012315270935960591,4
YUV,equal,6,114,1,1,4,3872,out_YUV_equal_N6_114_error_3872.png,C2M1,C2M1,0.0015495867768595042,6
YUV,equal,6,123,1,2,3,1740,out_YUV_equal_N6_123_error_1740.png,C2M1,C2M1,0.0034482758620689655,6
YUV,equal,6,132,1,3,2,1421,out_YUV_equal_N6_132_error_1421.png,C2M1,C2M1,0.00422237860661506,6
YUV,equal,6,141,1,4,1,2171,out_YUV_equal_N6_141_error_2171.png,C2M1,C2M1,0.0027637033625057578,6
YUV,equal,6,213,2,1,3,2521,out_YUV_equal_N6_213_error_2521.png,C2M1,C2M1,0.002380007933359778,6
YUV,equal,6,222,2,2,2,768,out_YUV_equal_N6_222_error_768.png,C2M1,C2M1,0.0078125,6
YUV,equal,6,231,2,3,1,1386,out_YUV_equal_N6_231_error_1386.png,C2M1,C2M1,0.004329004329004329,6
YUV,equal,6,312,3,1,2,2247,out_YUV_equal_N6_312_error_2247.png,C2M1,C2M1,0.0026702269692923898,6
YUV,equal,6,321,3,2,1,1232,out_YUV_equal_N6_321_error_1232.png,C2M1,C2M1,0.00487012987012987,6
